time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-08T17:21:22.570Z,-5.6231,109.922,543.29,4.2,mb,,48,1.507,0.82,us,us100076av,2016-11-08T20:05:48.040Z,"129km NW of Batang, Indonesia",earthquake,9.7,8,0.087,37,reviewed,us,us
2016-11-08T17:09:51.470Z,-38.2074,-74.0597,11.23,4.5,mwr,,138,0.782,1.26,us,us100076au,2016-11-08T17:23:50.040Z,"73km SW of Canete, Chile",earthquake,6.4,4.5,0.052,35,reviewed,us,us
2016-11-08T16:52:18.780Z,33.716,-116.7605,17.08,0.89,ml,39,48,0.03892,0.12,ci,ci37519783,2016-11-08T17:29:47.850Z,"5km SW of Idyllwild, CA",earthquake,0.16,0.26,0.137,25,reviewed,ci,ci
2016-11-08T16:43:52.330Z,33.4613333,-116.6415,7.71,0.27,ml,17,90,0.03687,0.2,ci,ci37519775,2016-11-08T17:24:16.197Z,"11km SSE of Anza, CA",earthquake,0.36,0.77,0.061,4,reviewed,ci,ci
2016-11-08T16:29:39.480Z,33.7291667,-115.9486667,2.22,1.24,ml,40,102,0.08148,0.18,ci,ci37519767,2016-11-08T17:20:12.031Z,"20km ENE of Thermal, CA",earthquake,0.2,0.36,0.081,36,reviewed,ci,ci
2016-11-08T16:24:59.110Z,38.841835,-122.824501,1.9,1.37,md,25,54,0.009171,0.03,nc,nc72722055,2016-11-08T16:40:03.456Z,"9km WNW of Cobb, California",earthquake,0.21,0.35,0.02,7,automatic,nc,nc
2016-11-08T16:06:58.470Z,19.3441667,-155.0353333,2.641,1.51,md,38,193,0.06905,0.16,hv,hv61473821,2016-11-08T19:56:40.570Z,"18km SW of Leilani Estates, Hawaii",earthquake,0.58,1.02,0.113,18,reviewed,hv,hv
2016-11-08T16:06:24.000Z,67.1261,-143.875,15.9,2.6,ml,,,,0.5,ak,ak14310233,2016-11-08T16:19:55.340Z,"87km NE of Fort Yukon, Alaska",earthquake,0.4,0.5,,,automatic,ak,ak
2016-11-08T16:04:42.000Z,61.4715,-146.4593,20.4,2,ml,,,,0.89,ak,ak14310230,2016-11-08T16:11:51.572Z,"38km N of Valdez, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-11-08T15:59:14.199Z,38.8886,-119.6322,7.5,0.9,ml,6,208.72,0.202,0.1739,nn,nn00565853,2016-11-08T17:11:08.425Z,"9km E of Gardnerville Ranchos, Nevada",earthquake,,3.9,0.39,3,reviewed,nn,nn
2016-11-08T15:45:01.706Z,36.3959,-114.8445,8.1,1.6,ml,15,189.69,0.244,0.152,nn,nn00565842,2016-11-08T16:08:29.729Z,"25km NE of Nellis Air Force Base, Nevada",earthquake,,2.1,0.41,5,reviewed,nn,nn
2016-11-08T15:44:21.890Z,19.1686668,-155.4750061,37.65,1.97,md,31,148,0.01795,0.14,hv,hv61473736,2016-11-08T15:47:39.190Z,"4km S of Pahala, Hawaii",earthquake,0.64,1,0.18,4,automatic,hv,hv
2016-11-08T15:42:57.890Z,38.8311653,-122.8066635,0.57,0.88,md,11,65,0.008204,0.03,nc,nc72722040,2016-11-08T15:58:03.346Z,"7km W of Cobb, California",earthquake,0.24,0.75,0.09,3,automatic,nc,nc
2016-11-08T15:27:11.680Z,41.2041667,-122.1113333,9.34,1.5,md,13,139,0.07039,0.13,nc,nc72722035,2016-11-08T19:02:02.807Z,"6km SSE of McCloud, California",earthquake,0.58,0.89,0.061,11,reviewed,nc,nc
2016-11-08T15:24:14.260Z,38.8033333,-122.8144989,2.92,0.55,md,10,135,0.01273,0.02,nc,nc72722030,2016-11-08T15:40:03.291Z,"5km WNW of The Geysers, California",earthquake,0.47,0.83,0.02,3,automatic,nc,nc
2016-11-08T14:52:55.000Z,35.9456667,-117.6593333,2.87,1.22,ml,26,48,0.007599,0.14,ci,ci37519703,2016-11-08T15:58:14.625Z,"22km E of Little Lake, CA",earthquake,0.16,0.28,0.125,16,reviewed,ci,ci
2016-11-08T14:50:43.240Z,37.7321663,-121.7259979,2.3,1.67,md,6,159,0.2263,0.15,nc,nc72722025,2016-11-08T15:06:02.209Z,"6km NNE of Livermore, California",earthquake,1.23,14.3,0.73,5,automatic,nc,nc
2016-11-08T14:47:33.965Z,38.6123,-118.484,7.8,0.4,ml,5,187,0.034,0.0329,nn,nn00565852,2016-11-08T17:04:55.470Z,"15km NE of Hawthorne, Nevada",earthquake,,6.3,0.5,2,reviewed,nn,nn
2016-11-08T14:32:08.550Z,34.737,-116.293,6.17,1.38,ml,9,73,0.09845,0.13,ci,ci37519695,2016-11-08T14:49:16.154Z,"12km W of Ludlow, CA",earthquake,0.35,0.88,0.192,20,reviewed,ci,ci
2016-11-08T14:20:23.150Z,38.7891655,-122.7208328,-0.32,0.78,md,8,120,0.004573,0.16,nc,nc72722020,2016-11-08T14:36:02.149Z,"3km S of Cobb, California",earthquake,0.45,0.95,0.19,4,automatic,nc,nc
